,Group,asv,count,Isolate_Number,jar_no,host_species,capture_day,color,total_count_group,rel_abund,contaminated,size,domain,phylum,class,order,family,genus
1,100_D3,ASV25790,1,100_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
2,101_D3,ASV14451,1,101_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
3,103D31,ASV00141,2203,103D31,J30-,Monoraphidium,D31,#FDC086,8966,0.245706,TRUE,2205,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
4,103point1D31,ASV00078,7224,103_1D31,J30-,Monoraphidium,D31,#FDC086,8567,0.843235672,TRUE,7230,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium
5,106_D3,ASV14457,1,106_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
6,111_D3,ASV14460,1,111_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
7,111point1D31,ASV00054,419,111_1D31,J33-,Monoraphidium,D31,#FDC086,8168,0.051297747,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
8,114_D3,ASV01449,1,114_D3,J21-,Scenedesmus,D3,#E0115F,1,1,TRUE,7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
9,117point1D31,ASV00067,8745,117_1D31,J35-,Monoraphidium,D31,#FDC086,8773,0.996808389,TRUE,8767,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
10,118D31,ASV00054,8041,118D31,J35-,Monoraphidium,D31,#FDC086,8954,0.898034398,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
11,128D31,ASV00054,486,128D31,J39-,Selenastrum,D31,#386CB0,8556,0.056802244,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
12,128_D3,ASV14465,1,128_D3,J24-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
