"otu","Isolate","count","totalReads","otuMatches","readType","contamFlag","numOTUs","mixed","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","meanCC","seCC","meanGR","seGR","Domain","Phylum","Class","Order","Family","Genus"
"Otu16323","100D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","10",0.00111926961051463,0.998880730389485,0.0599708624620725,0.940029137537927,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",276.936572228192,3.78283417685559,0.0342232967219487,0.000732166111945043,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","101D3",913,999,85,"miseq",FALSE,1,FALSE,"scenedesmus","10",0.212905067602134,0.787094932397866,0.741356566919367,0.258643433080633,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",1536.00930252254,1342.74203420943,0.0164541441679634,0.0188468829423004,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","103D3",910,998,84,"miseq",FALSE,1,FALSE,"scenedesmus","10",0.523178354559773,0.476821645440227,0.208880458352569,0.791119541647431,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",203.170665082651,14.4589834045234,0.0329862698322562,0.00150243900735639,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","107D3",68,291,76,"miseq",FALSE,2,TRUE,"scenedesmus","12",0.0820259583053015,0.917974041694698,0.0372280817012772,0.962771918298723,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",457.146203005242,21.3451096999401,0.0295764054461766,0.00209289524548539,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","108D3",287,967,78,"miseq",FALSE,3,TRUE,"scenedesmus","12",0.0840277017766219,0.915972298223378,0.00171683487660412,0.998283165123396,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",454.996362016985,10.7088385291568,0.0297016187393641,0.000868384770053048,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","110D3",206,895,86,"miseq",FALSE,2,TRUE,"scenedesmus","12",0.109486378295479,0.890513621704521,0.012625979163234,0.987374020836766,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",442.616959003212,18.48577652625,0.0301987343633859,0.00149085558188897,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","116D3",111,973,59,"miseq",FALSE,3,TRUE,"scenedesmus","12",0.219368234477132,0.780631765522868,0.000359136214094074,0.999640863785906,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",408.364761871374,15.3327864284923,0.0289122756286198,0.000544300122832327,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","117D3",924,1000,77,"miseq",FALSE,1,FALSE,"scenedesmus","10",0.00874099577771272,0.991259004222287,0.0428957110873441,0.957104288912656,"Increased CC","Increased GR","Increased CC
Increased GR",245.294624542158,3.20366655886927,0.0346348710928528,0.000557402703698166,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","119D3",815,997,65,"miseq",FALSE,1,FALSE,"scenedesmus","11",0.189469166074167,0.810530833925833,0.0258458395068779,0.974154160493122,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",343.346599009143,74.5686457288279,0.0366401070429417,0.00395782792638075,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","124D3",90,384,30,"miseq",FALSE,2,TRUE,"scenedesmus","11",1.68514629418757e-06,0.999998314853706,0.000685317432358398,0.999314682567642,"Increased CC","Increased GR","Increased CC
Increased GR",360.42022260546,7.64478473636019,0.0336317517193929,0.00115526625793713,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","125D3",439,996,73,"miseq",FALSE,3,TRUE,"scenedesmus","12",0.440783234666032,0.559216765333968,0.0609008672989276,0.939099132701072,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",370.001363344302,21.8629257527496,0.0293070727380504,0.00257236579472896,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
