"asv","Isolate","count","totalReads","asvMatches","contamFlag","numasvs","mixed","host_species","plate_no","meanCC","seCC","meanGR","seGR","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","seq_type","Domain","Phylum","Class","Order","Family","Genus"
"ASV0020","121D3",1509,8516,32,FALSE,2,TRUE,"scenedesmus","12",402.465447957403,24.6246224759344,0.029959227306268,0.00236049766596962,0.255001329698445,0.744998670301555,0.0432021796659501,0.95679782033405,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"ASV0020","92D3",4071,8396,32,FALSE,4,TRUE,"scenedesmus","10",259.526167569819,14.903601778774,0.0280775928407223,0.000466255107080423,0.0206819458796485,0.979318054120352,0.942843091019216,0.0571569089807844,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"ASV0070","41D31",877,8353,69,FALSE,3,TRUE,"coelastrum","7",498.294005044096,7.98075840475247,0.0325507901970642,0.000659698083208429,0.644002305139401,0.355997694860599,0.198737082280325,0.801262917719675,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0025","38D31",1493,8623,25,FALSE,4,TRUE,"coelastrum","6",591.40078774448,26.8997648151545,0.0298156455986272,0.00131327000173732,0.0202204437983083,0.979779556201692,0.891793977810376,0.108206022189624,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0012","150D3",2099,8688,21,FALSE,3,TRUE,"scenedesmus","13",459.67488565913,9.51127808537015,0.0239388412495291,0.00104696398895175,0.917673927564334,0.0823260724356661,0.0252576125433713,0.974742387456629,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0012","150D31",7052,8299,30,FALSE,2,TRUE,"selenastrum","25",963.696536621983,101.96371815238,0.0144107869912647,0.000344786483752319,0.0163775473687669,0.983622452631233,0.999997754339512,2.24566048756571e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0012","87D31",2191,8655,46,FALSE,4,TRUE,"scenedesmus","15",546.955628331813,32.932173392821,0.0268393602064021,0.000785445461149933,0.144233655090799,0.855766344909201,0.942145350302758,0.0578546496972423,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0008","165D3",1854,8610,19,FALSE,2,TRUE,"monoraphidium","20",857.338689275161,213.911967822105,0.0197809481702113,0.00684061675606552,0.269525583619408,0.730474416380592,0.285339671521517,0.714660328478483,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0008","187D3",1837,8531,26,FALSE,2,TRUE,"monoraphidium","16",22332.1485068999,19406.4106411118,0.00860734910557132,0.000695448739414082,0.190150382523525,0.809849617476475,0.996215099787165,0.00378490021283443,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0008","2D31",5795,7964,20,FALSE,2,TRUE,"chlorella","1",380.814675987158,14.2206487170108,0.0741089024133708,0.00188383915155047,0.00116640245230647,0.998833597547694,0.000184992529054288,0.999815007470946,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0008","32D31",4376,8094,31,FALSE,2,TRUE,"chlorella","3",396.929085369638,14.7872336674002,0.0487969357563173,0.00108653567414983,0.00282570319585013,0.99717429680415,0.972119132421431,0.0278808675785695,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0008","9point1D31",5293,8252,28,FALSE,3,TRUE,"chlorella","1",358.002719467997,11.7888343161631,0.0612622057992769,0.00241316636237618,0.00069606916902243,0.999303930830978,0.008834169352578,0.991165830647422,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV0063","8point1D3",4056,8265,39,FALSE,2,TRUE,"chlorella","3",295.362317318445,14.4209440347314,0.0617375780066021,0.00591703056897787,0.0232754284166545,0.976724571583345,0.170836801153034,0.829163198846966,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
