"Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier"
"1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_E2",286.170271563025,-5.27724430832148,0.0538059608842627,0.0353932010656306,0.939849757060146,0.00516950181393286,FALSE
"1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_F2",275.320179604083,-5.26661846236534,0.051687441344833,0.0347802781884599,0.949015259540606,0.00465431671452169,FALSE
"1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_G2",258.357154804523,-5.33433595342242,0.0526204942295772,0.0312857031490906,0.957980229783234,0.00378297835337685,FALSE
"10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_B8",378.159900305522,-7.09675978766076,0.0667189689890539,0.0376039720091019,0.970988347124239,0.0037527732186931,FALSE
"10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_C8",353.004539285362,-7.81253921715004,0.0714506947475456,0.0340089992995865,0.98302496054358,0.00258021769540075,FALSE
"10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_D8",325.606306253546,-6.57901859838661,0.0621757635209204,0.0332683904184353,0.967976617831593,0.00349359315398727,FALSE
"11DF","chlorella","1",0.000105132952808944,0.999894867047191,0.000350215098304194,0.999649784901696,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_11DF_E8",389.94309039488,-6.27221353815186,0.0554793767510352,0.0333374913519256,0.967189058207617,0.00354507926029701,FALSE
"11DF","chlorella","1",0.000105132952808944,0.999894867047191,0.000350215098304194,0.999649784901696,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_11DF_F8",371.133211518843,-6.68281460746315,0.0602492067746064,0.0335132966390756,0.975517141511558,0.00306527986126409,FALSE
"11DF","chlorella","1",0.000105132952808944,0.999894867047191,0.000350215098304194,0.999649784901696,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_11DF_G8",355.756666594335,-7.90276488491194,0.0773697165578474,0.0346446112127258,0.963700451665613,0.00388199207080411,FALSE
"12,1DF","chlorella","1",0.00891064746208121,0.991089352537919,0.00246023273841791,0.997539767261582,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12,1DF_E9",237.406923566047,-5.53134201166289,0.0560434311933432,0.0315330552350007,0.970825994769515,0.00315596918575942,FALSE
"12,1DF","chlorella","1",0.00891064746208121,0.991089352537919,0.00246023273841791,0.997539767261582,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12,1DF_F9",214.918892388143,-5.46394344176779,0.0599124750443606,0.0312309130542357,0.95378052311024,0.00396928554005249,FALSE
"12,1DF","chlorella","1",0.00891064746208121,0.991089352537919,0.00246023273841791,0.997539767261582,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12,1DF_G9",242.634435882136,-5.27034227980443,0.0595179271314749,0.0321714363005839,0.940222990519525,0.0046834024858952,FALSE
"12DF","chlorella","1",8.61911442772867e-05,0.999913808855723,0.000109543564925385,0.999890456435075,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12DF_B9",325.924378715499,-7.05130870377647,0.0691138594394312,0.0341107629197247,0.982285476879503,0.00264470159291411,FALSE
"12DF","chlorella","1",8.61911442772867e-05,0.999913808855723,0.000109543564925385,0.999890456435075,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12DF_C9",324.361572086223,-7.13932712982183,0.0699742447219656,0.0341984168975911,0.984851529382388,0.0024487496534926,FALSE
"12DF","chlorella","1",8.61911442772867e-05,0.999913808855723,0.000109543564925385,0.999890456435075,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_12DF_D9",327.664811538887,-4.28765939321423,0.0464100593549254,0.0333858344197978,0.922690213685582,0.00557944353772285,FALSE
"13DF","chlorella","1",0.00183989964079962,0.9981601003592,0.0219043547958152,0.978095645204185,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_13DF_B10",334.13848794258,-4.13792195494052,0.0311943284609977,0.0325083844653355,0.952472226646544,0.00419258941707124,FALSE
"13DF","chlorella","1",0.00183989964079962,0.9981601003592,0.0219043547958152,0.978095645204185,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_13DF_C10",389.636924772176,-4.10104024924089,0.0299526867793741,0.0333544402542606,0.955581201899601,0.00415185934394218,FALSE
"13DF","chlorella","1",0.00183989964079962,0.9981601003592,0.0219043547958152,0.978095645204185,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_13DF_D10",364.144723226807,-4.27759550612817,0.0336568095191864,0.0307766734631593,0.959546211576109,0.00364844413902396,FALSE
"2DF","chlorella","1",0.000780751625606305,0.999219248374394,0.00269251239250877,0.997307487607491,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_2DF_B3",339.113544335593,-8.37853590083227,0.0750238227991435,0.0367072240331569,0.993568065052432,0.00170515131647832,FALSE
"2DF","chlorella","1",0.000780751625606305,0.999219248374394,0.00269251239250877,0.997307487607491,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_2DF_C3",328.749153534765,-8.5581210773252,0.0805206071606178,0.0341692547564343,0.990996913507858,0.00188033157850057,FALSE
"2DF","chlorella","1",0.000780751625606305,0.999219248374394,0.00269251239250877,0.997307487607491,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_2DF_D3",300.678261672994,-8.39347518410206,0.0769366489318397,0.0361716981506023,0.992966422989733,0.00175763670137956,FALSE
"3DF","chlorella","1",0.000218331197060678,0.999781668802939,0.0063444425063266,0.993655557493673,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_3DF_E3",397.760125667085,-8.56256015087369,0.0777744451456166,0.037823981555415,0.984146548199252,0.00277165165874277,FALSE
"3DF","chlorella","1",0.000218331197060678,0.999781668802939,0.0063444425063266,0.993655557493673,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_3DF_F3",379.712747957361,-8.79522083359623,0.078276451733084,0.0372208387165375,0.987462614697936,0.00242141195939403,FALSE
