"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier","split_var","normCC","normGR","logNormCC","logNormGR"
"1","1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_E2",286.170271563025,-5.27724430832148,0.0538059608842627,0.0353932010656306,0.939849757060146,0.00516950181393286,FALSE,"1,1DF_1",1.50166345691509,1.2051537783608,0.40657346493048,0.186607175697201
"2","1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_F2",275.320179604083,-5.26661846236534,0.051687441344833,0.0347802781884599,0.949015259540606,0.00465431671452169,FALSE,"1,1DF_1",1.4447281697173,1.1842834897453,0.367921186025315,0.169137941708591
"3","1,1DF","chlorella","1",0.000549060482198701,0.999450939517801,0.0315493772327958,0.968450622767204,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_1,1DF_G2",258.357154804523,-5.33433595342242,0.0526204942295772,0.0312857031490906,0.957980229783234,0.00378297835337685,FALSE,"1,1DF_1",1.35571558877689,1.06529170076719,0.304329424729204,0.0632486590923145
"4","100D3","scenedesmus","10",0.000916385023381985,0.999083614976618,0.119995081488389,0.880004918511611,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_100D3_E5",230.86947075062,-4.51653623652448,0.0364002611738106,0.0260664703310331,0.962807545215315,0.00295787133877095,FALSE,"100D3_10",1.36416956344728,1.14949342974328,0.310545865072777,0.139321349452943
"5","100D3","scenedesmus","10",0.000916385023381985,0.999083614976618,0.119995081488389,0.880004918511611,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_100D3_F5",224.408379946018,-4.41468069401189,0.0347108541136596,0.0251193532126591,0.960811318712081,0.00292893069132636,FALSE,"100D3_10",1.32599204524338,1.1077269423385,0.282160892683369,0.102310116020524
"6","100D3","scenedesmus","10",0.000916385023381985,0.999083614976618,0.119995081488389,0.880004918511611,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_100D3_G5",234.934772785171,-4.33404566566191,0.033515476536557,0.0223466339394981,0.953301509703111,0.0024729674444955,FALSE,"100D3_10",1.38819076158891,0.985454055118065,0.328001288944361,-0.0146527743609139
"7","100DF","monoraphidium","17",0.0335250029705441,0.966474997029456,0.104889465075214,0.895110534924786,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_100DF_G10",715.199081686304,-3.07100566822397,0.0137907990820267,0.0307847364436774,0.989095974596339,0.00186616062838948,FALSE,"100DF_17",1.4762079175747,1.04499233950459,0.389476581823175,0.0440095547722894
"8","100DF","monoraphidium","17",0.0335250029705441,0.966474997029456,0.104889465075214,0.895110534924786,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_100DF_G8",621.767904900406,-3.12507126575044,0.01640614889394,0.030448819568832,0.990459963800187,0.00149415968329073,FALSE,"100DF_17",1.28336113343948,1.03358959251126,0.249482521817334,0.0330377848306988
"9","100DF","monoraphidium","17",0.0335250029705441,0.966474997029456,0.104889465075214,0.895110534924786,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_17_100DF_G9",565.971243657308,-2.94941800391975,0.0149586387519323,0.0299233745771325,0.992264470736797,0.00152539120418256,FALSE,"100DF_17",1.1681939370456,1.01575328612736,0.155458912613683,0.0156304910538432
"10","101D3","scenedesmus","10",0.839041608304448,0.160958391695552,0.770839460709836,0.229160539290164,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_101D3_B6",166.825771769235,-4.30818404609417,0.0350422803652444,0.0231962120551015,0.970062813684138,0.00235267536360247,FALSE,"101D3_10",0.985745926069272,1.02291921436431,-0.0143566390564033,0.0226605145104003
"11","101D3","scenedesmus","10",0.839041608304448,0.160958391695552,0.770839460709836,0.229160539290164,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_101D3_C6",154.76995290421,-4.52696705745209,0.0374379361901397,0.023403867688405,0.969969848278347,0.00237753354329039,FALSE,"101D3_10",0.91451008399527,1.03207652577243,-0.0893667844265874,0.0315728171904396
"12","101D3","scenedesmus","10",0.839041608304448,0.160958391695552,0.770839460709836,0.229160539290164,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_10_101D3_D6",79.5106494583391,-114.04531765249,-0.0891739710623599,0.00218563207873099,0.113717070738745,0.00352281461189949,FALSE,"101D3_10",0.469815292634143,0.0963831958232701,-0.755415655916008,-2.33942340974664
"13","101DF","monoraphidium","18",0.120636124574481,0.879363875425519,0.00774119352093734,0.992258806479063,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_18_101DF_F5",368.881035647745,-4.92716826371132,0.0370466974211835,0.0343921423917315,0.985921091230414,0.0023728048509083,FALSE,"101DF_18",1.1630725502587,1.13485495474288,0.151065253584572,0.126504849589047
"14","101DF","monoraphidium","18",0.120636124574481,0.879363875425519,0.00774119352093734,0.992258806479063,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_18_101DF_F6",606.698244253183,-4.99761607891376,0.0354910779719333,0.0322707356269087,0.981824685779281,0.00219534540672457,FALSE,"101DF_18",1.91290417774378,1.06485382045289,0.648622599158496,0.0628375319499634
"15","101DF","monoraphidium","18",0.120636124574481,0.879363875425519,0.00774119352093734,0.992258806479063,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Plate_18_101DF_F7",367.442360362547,-4.91473365754829,0.0369113747787259,0.033841526036573,0.991679400744045,0.00178970300836178,FALSE,"101DF_18",1.1585364435705,1.11668598778245,0.147157521944502,0.110365359510921
"16","102D3","scenedesmus","10",0.0352832623848941,0.964716737615106,0.179343051254764,0.820656948745236,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_102D3_E6",192.395455682272,-4.62928640628359,0.0400690579804756,0.0249298521026806,0.960484925796445,0.00291941072367705,FALSE,"102D3_10",1.13683296424597,1.09937021900454,0.128246294781791,0.0947374876697899
"17","102D3","scenedesmus","10",0.0352832623848941,0.964716737615106,0.179343051254764,0.820656948745236,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_10_102D3_F6",214.313404714501,-4.18949959981118,0.0328291359682684,0.0235425121752168,0.96121838089466,0.00273019779225525,FALSE,"102D3_10",1.26634250427195,1.03819054599213,0.236132827631677,0.0374793382167006
