"","Group","Isolate_Number","asv","rel_abund","host_species","time","domain","phylum","class","order","family","genus"
"1","29_D3","29D3","1",0.000442128109969319,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"2","24D3","24D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"3","33_D3","33D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"4","34_D3","34D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"5","34point1D3","34_1D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"6","35D3","35D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"7","36D3","36D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"8","39D3","39D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"9","43point2_D3","432_D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"10","44_D3","44D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"11","45_D3","45D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"12","6_D3","6D3","2",0.00318868152038479,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"13","46D3","46D3","3",0.000241160787255992,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"14","12D3","12D3","6",0.00148715818807862,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"15","13D3","13D3","6",0.00148715818807862,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"16","21_D3","21D3","6",0.00148715818807862,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"17","27_D3","27D3","6",0.00148715818807862,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"18","17_D3","17D3","13",0.200404614209729,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified"
"19","22_D3","22D3","13",0.200404614209729,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified"
"20","23_D3","23D3","13",0.200404614209729,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified"
"21","38_D3","38D3","15",8.03869290853307e-05,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"22","4_D3","4D3","15",8.03869290853307e-05,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"23","2_D3","2D3","21",0.0473746968742882,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"24","10D3","10D3","25",0.000187569501199105,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"25","10point1D3","10_1D3","25",0.000187569501199105,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"26","20_D3","20D3","26",1.33978215142218e-05,"Chlorella","D3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"27","30_D3","30D3","26",1.33978215142218e-05,"Chlorella","D3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"28","42D3","42D3","27",0.00447487238575008,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"29","4point1D3","4_1D3","31",0.000187569501199105,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"30","7_D3","7D3","31",0.000187569501199105,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"31","9D3","9D3","31",0.000187569501199105,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"32","31_D3","31D3","37",9.37847505995525e-05,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Rheinheimera"
"33","3_D3","3D3","46",0.00179530808290572,"Chlorella","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Niveispirillum"
"34","18D3","18D3","65",6.69891075711089e-05,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Chromobacterium"
"35","25_D3","25D3","70",0.00396575516820965,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"36","5_D3","5D3","88",5.35912860568872e-05,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"37","8_D3","8D3","98",0.000911051862967082,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"38","26_D3","26D3","301",0.000509117217540428,"Chlorella","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"39","58point1_D3","581_D3","2",0.00300594738947015,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"40","58point2D3","58_2D3","2",0.00300594738947015,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"41","58point2_D3","582_D3","2",0.00300594738947015,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"42","77D3","77D3","2",0.00300594738947015,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"43","85_D3","85D3","2",0.00300594738947015,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"44","65D3","65D3","3",0.00114819449640705,"Coelastrum","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"45","67_D3","67D3","3",0.00114819449640705,"Coelastrum","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"46","68_D3","68D3","3",0.00114819449640705,"Coelastrum","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"47","54point1D3","54_1D3","4",3.87031852721479e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"48","47_D3","47D3","5",7.74063705442958e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"49","69D3","69D3","5",7.74063705442958e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"50","84_D3","84D3","5",7.74063705442958e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"51","53D3","53D3","6",0.00187065395482048,"Coelastrum","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"52","59_D3","59D3","13",0.0215705752583438,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified"
"53","72_D3","72D3","13",0.0215705752583438,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified"
"54","52_D3","52D3","15",9.03074323016784e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"55","56D3","56D3","15",9.03074323016784e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"56","78_D3","78D3","15",9.03074323016784e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"57","83D3","83D3","15",9.03074323016784e-05,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"58","54_D3","54D3","26",0.00149652316385639,"Coelastrum","D3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"59","65point1D3","65_1D3","26",0.00149652316385639,"Coelastrum","D3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"60","66D3","66D3","26",0.00149652316385639,"Coelastrum","D3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"61","62point1D3","62_1D3","27",0.00518622682646782,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"62","86D3","86D3","43",0.0152877581824984,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"63","75_D3","75D3","56",0.00412833976236244,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"64","82_D3","82D3","56",0.00412833976236244,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"65","49_D3","49D3","185",0.00325106756286042,"Coelastrum","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"66","61_D3","61D3","556",0.000116109555816444,"Coelastrum","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"67","156D3","156D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"68","158D3","158D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"69","159_D3","159D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"70","163D3","163D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"71","184_D3","184D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"72","185D3","185D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"73","189_D3","189D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"74","196_D3","196D3","2",0.00274883501754019,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"75","160D3","160D3","3",0.000458139169590031,"Monoraphidium","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"76","188D3","188D3","3",0.000458139169590031,"Monoraphidium","D3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"77","159point1D3","159_1D3","4",9.16278339180062e-05,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"78","169_D3","169D3","4",9.16278339180062e-05,"Monoraphidium","D3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
