"","asv","host_presence"
"1","ASV00001",5
"2","ASV00002",5
"3","ASV00003",5
"4","ASV00004",5
"5","ASV00005",4
"6","ASV00006",5
"7","ASV00008",5
"8","ASV00009",5
"9","ASV00010",5
"10","ASV00011",2
"11","ASV00012",5
"12","ASV00013",5
"13","ASV00014",5
"14","ASV00015",5
"15","ASV00016",5
"16","ASV00017",5
"17","ASV00018",5
"18","ASV00019",5
"19","ASV00020",1
"20","ASV00021",2
"21","ASV00025",5
"22","ASV00026",5
"23","ASV00027",5
"24","ASV00028",3
"25","ASV00029",4
"26","ASV00031",5
"27","ASV00034",4
"28","ASV00036",1
"29","ASV00037",5
"30","ASV00038",2
"31","ASV00040",5
"32","ASV00042",3
"33","ASV00043",3
"34","ASV00044",2
"35","ASV00046",5
"36","ASV00047",5
"37","ASV00048",3
"38","ASV00050",4
"39","ASV00053",1
"40","ASV00055",1
"41","ASV00056",3
"42","ASV00057",3
"43","ASV00058",1
"44","ASV00060",2
"45","ASV00061",2
"46","ASV00062",4
"47","ASV00063",1
"48","ASV00065",2
"49","ASV00066",1
"50","ASV00068",3
"51","ASV00070",5
"52","ASV00071",1
"53","ASV00074",1
"54","ASV00075",1
"55","ASV00080",1
"56","ASV00087",2
"57","ASV00088",3
"58","ASV00093",3
"59","ASV00098",1
"60","ASV00103",1
"61","ASV00112",2
"62","ASV00113",1
"63","ASV00134",1
"64","ASV00138",2
"65","ASV00139",1
"66","ASV00145",1
"67","ASV00148",1
"68","ASV00185",1
"69","ASV00194",1
"70","ASV00203",3
"71","ASV00227",1
"72","ASV00238",1
"73","ASV00269",1
"74","ASV00290",1
"75","ASV00301",1
"76","ASV00313",1
"77","ASV00344",1
"78","ASV00475",1
"79","ASV00556",1
"80","ASV00623",2
"81","ASV00639",1
"82","ASV00720",2
"83","ASV00752",1
"84","ASV00932",1
"85","ASV01002",1
"86","ASV01070",1
"87","ASV01133",1
"88","ASV01184",1
"89","ASV01208",2
"90","ASV01267",1
"91","ASV01408",1
"92","ASV01468",1
"93","ASV02078",1
"94","ASV02344",1
"95","ASV02850",1
"96","ASV03409",1
"97","ASV06183",1
