Group	asv
100D31	ASV00029
100_D3	ASV25790
101D3	ASV00002
101D31	ASV00009
102D31	ASV00012
103D3	ASV00002
103p1D31	ASV00078
104D31	ASV00009
104_D3	ASV00002
106D31	ASV00016
106_D3	ASV14457
107D31	ASV00001
107_D3	ASV00005
108_D3	ASV00002
109D31	ASV00014
109_D3	ASV00002
110D31	ASV00009
110_D3	ASV00027
111_D3	ASV14460
111p1D31	ASV00042
111p2D31	ASV00003
112p1D31	ASV00042
112p2D31	ASV00016
113D3	ASV00005
113p1D31	ASV00003
113p2D31	ASV00009
113p3D31	ASV00004
114D31	ASV00004
114_D3	ASV01449
115D3	ASV00005
115D31	ASV00003
117D3	ASV00002
117p1D31	ASV00067
118D3	ASV00004
118D31	ASV00054
119D3	ASV00002
119D31	ASV00003
120D3	ASV00026
120D31	ASV00004
122_D3	ASV00002
123D31	ASV00006
123_D3	ASV00043
124_D3	ASV00002
124p1D31	ASV00016
124p2D31	ASV00006
124p3D31	ASV00010
124p4D31	ASV00068
125_DF	ASV00008
126D31	ASV00029
127D3	ASV00002
127D31	ASV00008
127p1D3	ASV00002
128p1D31	ASV00008
129D31	ASV00038
129_D3	ASV00040
12D3	ASV00006
12p1D31	ASV00009
130D3	ASV00040
130D31	ASV00010
131D3	ASV00006
131D31	ASV00003
131p1D3	ASV00040
132D31	ASV00038
132_D3	ASV02850
132p1D3	ASV00026
132p1D31	ASV00003
133_DF	ASV00001
134D31	ASV00014
134_D3	ASV14466
135D3	ASV00050
136D3	ASV00017
136D31	ASV00016
136p1D31	ASV00001
137D3	ASV00002
137D31	ASV00016
138D31	ASV00072
139D3	ASV00002
139D31	ASV00001
13D3	ASV00006
140D31	ASV00001
140p1D31	ASV00014
141D3	ASV00002
141p1D31	ASV00001
142D31	ASV00001
142_D3	ASV00053
143D3	ASV00002
143p1D31	ASV00001
144p1D31	ASV00003
146D31	ASV00034
146_D3	ASV00002
147D3	ASV00002
147D31	ASV00075
148D31	ASV00012
148_D3	ASV14472
149D3	ASV00025
149D31	ASV00003
150p1D31	ASV00041
151D31	ASV00003
152D3	ASV00005
153D3	ASV00003
153D31	ASV00001
154_D3	ASV00002
155D3	ASV00005
156D3	ASV00002
157D3	ASV00025
158D3	ASV00002
159_D3	ASV00002
159p1D3	ASV00004
15D31	ASV00036
160D3	ASV00003
161D3	ASV00027
162_D3	ASV00148
163D3	ASV00002
166_D3	ASV00006
