"","Isolate_Number","jar_no","host_species","Group","capture_day","seq_type"
"1","1_1D31","J1-","Chlorella","1point1D31","D31","Miseq"
"2","1_D3","J1-","Chlorella","1_D3","D3","Sanger"
"3","10_1D3","J2-","Chlorella","10point1D3","D3","Miseq"
"4","10D3","J2-","Chlorella","10D3","D3","Miseq"
"5","10OMO_D31","J2-","Chlorella","S10OMO","D31","Miseq"
"6","10P_D31","J2-","Chlorella","S10P","D31","Miseq"
"7","11_D31","J3-","Chlorella","11_DF","D31","Sanger"
"8","11_D31","J3-","Chlorella","S11","D31","Miseq"
"9","12_1D31","J3-","Chlorella","12point1D31","D31","Miseq"
"10","12_D31","J3-","Chlorella","S12","D31","Miseq"
"11","12D3","J2-","Chlorella","12D3","D3","Miseq"
"12","13_D31","J4-","Chlorella","S13","D31","Miseq"
"13","13D3","J2-","Chlorella","13D3","D3","Miseq"
"14","14D3","J2-","Chlorella","14D3","D3","Miseq"
"15","15_1D31","J4-","Chlorella","15point1D31","D31","Miseq"
"16","15_D31","J4-","Chlorella","S15","D31","Miseq"
"17","15D31","J4-","Chlorella","15D31","D31","Miseq"
"18","16_1D31","J4-","Chlorella","16point1D31","D31","Miseq"
"19","16_2D31","J4-","Chlorella","16point2D31","D31","Miseq"
"20","16_D31","J4-","Chlorella","S16","D31","Miseq"
"21","16D31","J4-","Chlorella","16D31","D31","Miseq"
"22","17_D3","J3-","Chlorella","17_D3","D3","Sanger"
"23","17A_D31","J4-","Chlorella","S17A","D31","Miseq"
"24","17B_D31","J4-","Chlorella","S17B","D31","Miseq"
"25","18_D31","J4-","Chlorella","S18","D31","Miseq"
"26","18D3","J3-","Chlorella","18D3","D3","Miseq"
"27","19AB_D31","J5-","Chlorella","S19AB","D31","Miseq"
"28","2_D3","J1-","Chlorella","2_D3","D3","Sanger"
"29","2_D31","J1-","Chlorella","S2","D31","Miseq"
"30","20_D3","J4-","Chlorella","20_D3","D3","Sanger"
"31","20_D31","J5-","Chlorella","S20","D31","Miseq"
"32","20D31","J5-","Chlorella","20D31","D31","Miseq"
"33","21_1D3","J4-","Chlorella","21point1D3","D3","Miseq"
"34","21_D3","J4-","Chlorella","21_D3","D3","Sanger"
"35","21_D31","J6-","Chlorella","S21","D31","Miseq"
"36","22_D3","J4-","Chlorella","22_D3","D3","Sanger"
"37","22_D31","J6-","Chlorella","S22","D31","Miseq"
"38","23_1D31","J7-","Chlorella","23point1D31","D31","Miseq"
"39","23_D3","J4-","Chlorella","23_D3","D3","Sanger"
"40","23P_D31","J7-","Chlorella","S23P","D31","Miseq"
"41","24_D31","J7-","Chlorella","S24","D31","Miseq"
"42","24D3","J5-","Chlorella","24D3","D3","Miseq"
"43","24D31","J7-","Chlorella","24D31","D31","Miseq"
"44","25_1D31","J7-","Chlorella","25point1D31","D31","Miseq"
"45","25_D3","J5-","Chlorella","25_D3","D3","Sanger"
"46","25_D31","J7-","Chlorella","S25","D31","Miseq"
"47","26_1D3","J5-","Chlorella","26point1D3","D3","Miseq"
"48","26_D3","J5-","Chlorella","26_D3","D3","Sanger"
"49","26_D31","J7-","Chlorella","S26","D31","Miseq"
"50","27_D3","J5-","Chlorella","27_D3","D3","Sanger"
"51","27_D31","J7-","Chlorella","S27","D31","Miseq"
"52","28_D3","J5-","Chlorella","28_D3","D3","Sanger"
"53","28_D31","J7-","Chlorella","S28","D31","Miseq"
"54","29_D3","J5-","Chlorella","29_D3","D3","Sanger"
"55","29_D31","J7-","Chlorella","S29","D31","Miseq"
"56","2D31","J1-","Chlorella","2D31","D31","Miseq"
"57","3_D3","J1-","Chlorella","3_D3","D3","Sanger"
"58","3_D31","J1-","Chlorella","S3","D31","Miseq"
"59","30_D3","J6-","Chlorella","30_D3","D3","Sanger"
"60","30W_D31","J7-","Chlorella","S30W","D31","Miseq"
"61","30Y32A_D31","J7-","Chlorella","S30Y32A","D31","Miseq"
"62","31_D3","J6-","Chlorella","31_D3","D3","Sanger"
