"","exact_isolate","asymptote","intercept","growthParam","Isolate","host_species","plate_no"
"1","Plate_1_1,1DF_E2",337.042342030506,-5.36044148343307,0.0526115905630641,"1,1DF","chlorella",1
"2","Plate_1_1,1DF_F2",326.198766366549,-5.34416836238045,0.0504382425089255,"1,1DF","chlorella",1
"3","Plate_1_1,1DF_G2",305.506676630307,-5.41292942539465,0.0514087586402284,"1,1DF","chlorella",1
"4","Plate_1_10DF_B8",443.188153600525,-7.33886262076253,0.0671524916491555,"10DF","chlorella",1
"5","Plate_1_10DF_C8",413.260314408571,-8.32833731697291,0.0741535517808594,"10DF","chlorella",1
"6","Plate_1_10DF_D8",381.654712701871,-6.92394139344675,0.0634990025691661,"10DF","chlorella",1
"7","Plate_1_11DF_E8",464.969109276534,-6.33907699459244,0.0543617219060591,"11DF","chlorella",1
"8","Plate_1_11DF_F8",441.320237134807,-6.65690021131955,0.058276501097051,"11DF","chlorella",1
"9","Plate_1_11DF_G8",414.062111449681,-7.97275367742885,0.076341654952892,"11DF","chlorella",1
"10","Plate_1_12,1DF_E9",283.025033034854,-5.3156226749812,0.0515925585114704,"12,1DF","chlorella",1
"11","Plate_1_12,1DF_F9",253.067242768926,-5.27740655693056,0.0555812402837878,"12,1DF","chlorella",1
"12","Plate_1_12,1DF_G9",284.043715393326,-5.1806510827309,0.0562587670284721,"12,1DF","chlorella",1
"13","Plate_1_12DF_B9",382.749207926389,-6.97381851147319,0.0664803331366015,"12DF","chlorella",1
"14","Plate_1_12DF_C9",381.044757564247,-7.03412955492679,0.0670506864578949,"12DF","chlorella",1
"15","Plate_1_12DF_D9",392.571210104886,-4.15719651007704,0.0424471062979886,"12DF","chlorella",1
"16","Plate_1_13DF_B10",415.494178932222,-4.22565113682204,0.0302165948194758,"13DF","chlorella",1
"17","Plate_1_13DF_C10",487.183954250337,-4.18579175814455,0.028963069629762,"13DF","chlorella",1
"18","Plate_1_13DF_D10",450.515857361247,-4.33554497836369,0.0323766017980461,"13DF","chlorella",1
"19","Plate_1_2DF_B3",402.331896127017,-8.08048202995456,0.0706633094404763,"2DF","chlorella",1
"20","Plate_1_2DF_C3",386.163129109694,-8.38748297411598,0.0771517240819804,"2DF","chlorella",1
"21","Plate_1_2DF_D3",353.949002403395,-8.31509550777734,0.0745116744190809,"2DF","chlorella",1
