"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"1","1,1DF","chlorella",1,0.000505055009495885,0.999494944990504,0.215150908813667,0.784849091186333,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"2","100D3","scenedesmus",10,0.00111926948015299,0.998880730519847,0.0599708574335883,0.940029142566412,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"3","100DF","monoraphidium",17,0.630393085869662,0.369606914130338,0.215895320231736,0.784104679768264,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"4","101D3","scenedesmus",10,0.212905089398307,0.787094910601692,0.741356282954804,0.258643717045196,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"5","101DF","monoraphidium",18,0.14765543429717,0.85234456570283,0.0307825287979992,0.969217471202001,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"6","102D3","scenedesmus",10,0.041042093723133,0.958957906276867,0.180714517897789,0.819285482102211,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"7","102DF","monoraphidium",16,0.079331899596501,0.920668100403499,0.974389424408452,0.0256105755915478,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"8","103,1DF","monoraphidium",18,0.00713361936380994,0.99286638063619,0.979781227926794,0.0202187720732056,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"9","103D3","scenedesmus",10,0.523178348090635,0.476821651909365,0.208880463370177,0.791119536629823,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"10","103DF","monoraphidium",17,0.874604018243279,0.125395981756721,0.0371088729373967,0.962891127062603,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"11","104D3","scenedesmus",10,0.0340177944082249,0.965982205591775,0.272033124851953,0.727966875148047,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"12","104DF","monoraphidium",17,0.168541780050776,0.831458219949224,0.419964590711505,0.580035409288495,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"13","106D3","scenedesmus",10,0.000328944110388244,0.999671055889612,0.0241622133729056,0.975837786627094,"Increased CC","Increased GR","Increased CC
Increased GR"
"14","106DF","monoraphidium",19,0.0273874503833556,0.972612549616644,0.555356527231374,0.444643472768626,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"15","107D3","scenedesmus",12,0.0820259593369261,0.917974040663074,0.0372280833234017,0.962771916676598,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"16","107DF","monoraphidium",18,3.83334585719078e-05,0.999961666541428,0.93278962448887,0.0672103755111304,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"17","108D3","scenedesmus",12,0.0840277001184725,0.915972299881527,0.00171683807912975,0.99828316192087,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"18","108DF","monoraphidium",17,0.202710722534588,0.797289277465412,0.72890327910731,0.27109672089269,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"19","109D3","scenedesmus",12,0.169911434630072,0.830088565369928,0.215723046159584,0.784276953840416,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"20","109DF","monoraphidium",16,0.167860675344229,0.832139324655771,0.995006458701294,0.00499354129870642,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"21","10DF","chlorella",1,0.00191521953507247,0.998084780464928,0.00439079624322421,0.995609203756776,"Increased CC","Increased GR","Increased CC
Increased GR"
"22","110D3","scenedesmus",12,0.109486378838372,0.890513621161628,0.0126259745275716,0.987374025472428,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"23","110DF","monoraphidium",20,0.00519905154416384,0.994800948455836,0.999838394301601,0.000161605698399006,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"24","111,1DF","monoraphidium",16,0.00471068807573506,0.995289311924265,0.947322317368795,0.0526776826312053,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"25","111,2DF","monoraphidium",18,0.687425471990149,0.312574528009851,0.00704944805852289,0.992950551941477,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"26","111D3","scenedesmus",12,0.243977119079057,0.756022880920943,0.0115278483600043,0.988472151639996,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"27","112,1DF","monoraphidium",18,0.0151357430786951,0.984864256921305,0.982768290090269,0.0172317099097312,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"28","112,2DF","monoraphidium",19,0.028460574589025,0.971539425410975,0.993731605820105,0.00626839417989529,"Increased CC","Decreased GR","Increased CC
Decreased GR"
