Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,323,SPL1,,5/25/2021 14:28
C2,383,SPL2,,5/25/2021 14:28
D2,400,SPL3,,5/25/2021 14:28
E2,490,SPL4,,5/25/2021 14:28
F2,474,SPL5,,5/25/2021 14:28
G2,513,SPL6,,5/25/2021 14:28
B3,315,SPL7,,5/25/2021 14:28
C3,323,SPL8,,5/25/2021 14:28
D3,335,SPL9,,5/25/2021 14:28
E3,387,SPL10,,5/25/2021 14:28
F3,352,SPL11,,5/25/2021 14:28
G3,427,SPL12,,5/25/2021 14:28
B4,292,SPL13,,5/25/2021 14:28
C4,331,SPL14,,5/25/2021 14:28
D4,308,SPL15,,5/25/2021 14:28
E4,421,SPL16,,5/25/2021 14:28
F4,368,SPL17,,5/25/2021 14:28
G4,344,SPL18,,5/25/2021 14:28
B5,284,SPL19,,5/25/2021 14:28
C5,312,SPL20,,5/25/2021 14:28
D5,316,SPL21,,5/25/2021 14:28
E5,348,SPL22,,5/25/2021 14:28
F5,422,SPL23,,5/25/2021 14:28
G5,386,SPL24,,5/25/2021 14:28
B6,336,SPL25,,5/25/2021 14:28
C6,371,SPL26,,5/25/2021 14:28
D6,390,SPL27,,5/25/2021 14:28
E6,565,SPL28,,5/25/2021 14:28
F6,526,SPL29,,5/25/2021 14:28
G6,571,SPL30,,5/25/2021 14:28
B7,565,SPL31,,5/25/2021 14:28
C7,429,SPL32,,5/25/2021 14:28
D7,522,SPL33,,5/25/2021 14:28
E7,359,SPL34,,5/25/2021 14:28
F7,369,SPL35,,5/25/2021 14:28
G7,517,SPL36,,5/25/2021 14:28
B8,481,SPL37,,5/25/2021 14:28
C8,500,SPL38,,5/25/2021 14:28
D8,508,SPL39,,5/25/2021 14:28
E8,471,SPL40,,5/25/2021 14:28
F8,475,SPL41,,5/25/2021 14:28
G8,552,SPL42,,5/25/2021 14:28
B9,461,SPL43,,5/25/2021 14:28
C9,459,SPL44,,5/25/2021 14:28
D9,512,SPL45,,5/25/2021 14:28
E9,283,SPL46,,5/25/2021 14:28
F9,259,SPL47,,5/25/2021 14:28
G9,294,SPL48,,5/25/2021 14:28
B10,395,SPL49,,5/25/2021 14:28
C10,435,SPL50,,5/25/2021 14:28
D10,411,SPL51,,5/25/2021 14:28
E10,390,SPL52,,5/25/2021 14:28
F10,398,SPL53,,5/25/2021 14:28
G10,410,SPL54,,5/25/2021 14:28
B11,458,SPL55,,5/25/2021 14:28
C11,449,SPL56,,5/25/2021 14:28
D11,384,SPL57,,5/25/2021 14:28
E11,368,SPL58,,5/25/2021 14:28
F11,390,SPL59,,5/25/2021 14:28
G11,366,SPL60,,5/25/2021 14:28
F12,1.33,SPL61,,5/25/2021 14:28
G12,2.22,SPL62,,5/25/2021 14:28
