Well,Sample
B2,SA2_CM
C2,SA2_CM
D2,SA2_CM
E2,SA2_MM
F2,SA2_MM
G2,SA2_MM
B3,SA3_CM
C3,SA3_CM
D3,SA3_CM
E3,SA3_MM
F3,SA3_MM
G3,SA3_MM
B4,SA4_CM
C4,SA4_CM
D4,SA4_CM
E4,SA4_MM
F4,SA4_MM
G4,SA4_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,SA2_CS
C6,SA2_CS
D6,SA2_CS
E6,SA2_SA
F6,SA2_SA
G6,SA2_SA
B7,SA3_CS
C7,SA3_CS
D7,SA3_CS
E7,SA3_SA
F7,SA3_SA
G7,SA3_SA
B8,SA4_CS
C8,SA4_CS
D8,SA4_CS
E8,SA4_SA
F8,SA4_SA
G8,SA4_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,SA2_SC
C10,SA2_SC
D10,SA2_SC
E10,SA4_SC
F10,SA4_SC
G10,SA4_SC
B11,SA3_SC
C11,SA3_SC
D11,SA3_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
