Well,Sample
B2,MM3_CM
C2,MM3_CM
D2,MM3_CM
E2,MM3_MM
F2,MM3_MM
G2,MM3_MM
B3,MM4_CM
C3,MM4_CM
D3,MM4_CM
E3,MM4_MM
F3,MM4_MM
G3,MM4_MM
B4,MM5_CM
C4,MM5_CM
D4,MM5_CM
E4,MM5_MM
F4,MM5_MM
G4,MM5_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,MM3_CS
C6,MM3_CS
D6,MM3_CS
E6,MM3_SA
F6,MM3_SA
G6,MM3_SA
B7,MM4_CS
C7,MM4_CS
D7,MM4_CS
E7,MM4_SA
F7,MM4_SA
G7,MM4_SA
B8,MM5_CS
C8,MM5_CS
D8,MM5_CS
E8,MM5_SA
F8,MM5_SA
G8,MM5_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,MM3_SC
C10,MM3_SC
D10,MM3_SC
E10,MM5_SC
F10,MM5_SC
G10,MM5_SC
B11,MM4_SC
C11,MM4_SC
D11,MM4_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
