Well ID,Well,"Mean RFU [ChlA_70:460,685]","Std Dev RFU [ChlA_70:460,685]","CV RFU [ChlA_70:460,685]","Mean RFU [ChlA_100:460,685]","Std Dev RFU [ChlA_100:460,685]","CV RFU [ChlA_100:460,685]",Reading Date/Time,Time (Hours)
SPL1,B2,1,0.527,36.488,11,4.093,38.369,2/19/2020 13:35,46.5
SPL2,C2,1,0.601,67.604,9,2.297,26.852,2/19/2020 13:35,46.5
SPL3,D2,1,1,75,9,3.571,38.258,2/19/2020 13:35,46.5
SPL4,E2,1,0.601,67.604,9,2.5,28.846,2/19/2020 13:35,46.5
SPL5,F2,1,0.726,50.295,8,2.522,31.095,2/19/2020 13:35,46.5
SPL6,G2,1,0.726,50.295,8,3.041,39.67,2/19/2020 13:35,46.5
SPL7,B3,1,0.726,50.295,9,2.804,30.773,2/19/2020 13:35,46.5
SPL8,C3,1,0.707,53.033,7,1.944,26.109,2/19/2020 13:35,46.5
SPL9,D3,1,0.667,54.545,9,1.936,22.344,2/19/2020 13:35,46.5
SPL10,E3,1,0.726,50.295,10,2.991,30.587,2/19/2020 13:35,46.5
SPL11,F3,1,0.5,50,9,2.404,25.451,2/19/2020 13:35,46.5
SPL12,G3,1,0.782,70.356,10,2.651,25.382,2/19/2020 13:35,46.5
SPL13,B4,1,0.527,36.488,8,2.121,25.456,2/19/2020 13:35,46.5
SPL14,C4,1,0.928,83.516,8,2.369,30.027,2/19/2020 13:35,46.5
SPL15,D4,1,0.707,70.711,8,1.394,16.959,2/19/2020 13:35,46.5
SPL16,E4,1,1,75,9,2.963,31.37,2/19/2020 13:35,46.5
SPL17,F4,1,0.707,70.711,9,1.833,20.625,2/19/2020 13:35,46.5
SPL18,G4,1,0.441,56.695,10,2.333,22.826,2/19/2020 13:35,46.5
SPL19,B5,1,0.726,50.295,9,3.833,41.566,2/19/2020 13:35,46.5
SPL20,C5,1,0.527,36.488,9,3.317,35.535,2/19/2020 13:35,46.5
SPL21,D5,1,0.441,36.078,9,2.603,27.566,2/19/2020 13:35,46.5
SPL22,E5,1,0.707,53.033,10,2.028,20.053,2/19/2020 13:35,46.5
SPL23,F5,1,0.527,36.488,10,3.708,38.36,2/19/2020 13:35,46.5
SPL24,G5,1,0.601,67.604,11,3.371,30.955,2/19/2020 13:35,46.5
SPL25,B6,2,0.882,56.695,11,2.598,24.357,2/19/2020 13:35,46.5
SPL26,C6,2,0.527,33.882,12,4.275,34.355,2/19/2020 13:35,46.5
SPL27,D6,1,0.667,54.545,12,2.789,24.134,2/19/2020 13:35,46.5
SPL28,E6,1,0.5,37.5,11,3.18,29.202,2/19/2020 13:35,46.5
SPL29,F6,2,0.726,46.702,10,3.606,34.892,2/19/2020 13:35,46.5
SPL30,G6,1,0.333,30,10,3.64,35.226,2/19/2020 13:35,46.5
SPL31,B7,2,0.527,33.882,12,4.123,35.341,2/19/2020 13:35,46.5
SPL32,C7,1,0.5,37.5,12,3.644,31.533,2/19/2020 13:35,46.5
SPL33,D7,1,0.707,53.033,10,3.428,34.278,2/19/2020 13:35,46.5
SPL34,E7,1,0.601,54.083,9,1.691,18.565,2/19/2020 13:35,46.5
SPL35,F7,1,0.441,36.078,10,2.713,26.833,2/19/2020 13:35,46.5
SPL36,G7,1,0.601,67.604,10,2.571,26.001,2/19/2020 13:35,46.5
SPL37,B8,2,0.441,24.804,11,4.457,40.928,2/19/2020 13:35,46.5
SPL38,C8,2,1,60,11,3.5,32.813,2/19/2020 13:35,46.5
SPL39,D8,1,1,75,10,3.516,35.553,2/19/2020 13:35,46.5
SPL40,E8,1,0.667,54.545,10,1.878,19.656,2/19/2020 13:35,46.5
SPL41,F8,1,0.707,70.711,10,3.087,32.303,2/19/2020 13:35,46.5
SPL42,G8,1,0.866,64.952,9,3.06,33.581,2/19/2020 13:35,46.5
SPL43,B9,1,0.601,54.083,9,4.472,49.69,2/19/2020 13:35,46.5
SPL44,C9,1,0.5,50,9,2.619,29.468,2/19/2020 13:35,46.5
SPL45,D9,1,0.441,36.078,10,2.472,24.998,2/19/2020 13:35,46.5
SPL46,E9,1,0.882,61.056,9,1.986,21.536,2/19/2020 13:35,46.5
SPL47,F9,1,0.441,36.078,8,1.414,17.678,2/19/2020 13:35,46.5
SPL48,G9,1,0.726,50.295,12,8.497,72.142,2/19/2020 13:35,46.5
SPL49,B10,1,0.333,30,9,2,21.429,2/19/2020 13:35,46.5
SPL50,C10,1,0.441,36.078,8,1.667,19.737,2/19/2020 13:35,46.5
SPL51,D10,1,0.5,50,8,2.906,35.342,2/19/2020 13:35,46.5
SPL52,E10,1,0.441,36.078,9,2.872,31.914,2/19/2020 13:35,46.5
SPL53,F10,1,0.441,36.078,9,2.892,31.737,2/19/2020 13:35,46.5
SPL54,G10,1,0.601,67.604,10,2.619,26.488,2/19/2020 13:35,46.5
SPL55,B11,2,0.882,56.695,18,5.812,33.106,2/19/2020 13:35,46.5
SPL56,C11,2,1.118,67.082,15,7.044,46.611,2/19/2020 13:35,46.5
SPL57,D11,2,0.833,37.5,18,5.019,27.546,2/19/2020 13:35,46.5
SPL58,E11,1,0.882,61.056,17,3.734,21.683,2/19/2020 13:35,46.5
SPL59,F11,1,0.5,75,1,0.782,87.945,2/19/2020 13:35,46.5
SPL60,G11,1,0.527,94.868,2,1.054,55.805,2/19/2020 13:35,46.5
