Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,136D3
B3,154D3
B4,64DF
B5,66DF
B6,69DF
B7,71DF
B8,73DF
B9,75DF
B10,76DF
B11,AC
B12,MC
C1,MC
C2,136D3
C3,154D3
C4,64DF
C5,66DF
C6,69DF
C7,71DF
C8,73DF
C9,75DF
C10,76DF
C11,AC
C12,MC
D1,MC
D2,136D3
D3,154D3
D4,64DF
D5,66DF
D6,69DF
D7,71DF
D8,73DF
D9,75DF
D10,76DF
D11,AC
D12,MC
E1,MC
E2,148D3
E3,155D3
E4,65DF
E5,67DF
E6,70DF
E7,72DF
E8,74DF
E9,AC50
E10,77DF
E11,AC
E12,MC
F1,MC
F2,148D3
F3,155D3
F4,65DF
F5,67DF
F6,70DF
F7,72DF
F8,74DF
F9,AC50
F10,77DF
F11,MC
F12,MC
G1,MC
G2,148D3
G3,155D3
G4,65DF
G5,67DF
G6,70DF
G7,72DF
G8,74DF
G9,AC50
G10,77DF
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
