"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",11,"SPL1",2020-02-19 13:15:58
"C2",9,"SPL2",2020-02-19 13:15:58
"D2",10,"SPL3",2020-02-19 13:15:58
"E2",9,"SPL4",2020-02-19 13:15:58
"F2",9,"SPL5",2020-02-19 13:15:58
"G2",8,"SPL6",2020-02-19 13:15:58
"B3",9,"SPL7",2020-02-19 13:15:58
"C3",9,"SPL8",2020-02-19 13:15:58
"D3",9,"SPL9",2020-02-19 13:15:58
"E3",10,"SPL10",2020-02-19 13:15:58
"F3",11,"SPL11",2020-02-19 13:15:58
"G3",10,"SPL12",2020-02-19 13:15:58
"B4",11,"SPL13",2020-02-19 13:15:58
"C4",11,"SPL14",2020-02-19 13:15:58
"D4",10,"SPL15",2020-02-19 13:15:58
"E4",11,"SPL16",2020-02-19 13:15:58
"F4",8,"SPL17",2020-02-19 13:15:58
"G4",7,"SPL18",2020-02-19 13:15:58
"B5",9,"SPL19",2020-02-19 13:15:58
"C5",10,"SPL20",2020-02-19 13:15:58
"D5",10,"SPL21",2020-02-19 13:15:58
"E5",10,"SPL22",2020-02-19 13:15:58
"F5",10,"SPL23",2020-02-19 13:15:58
"G5",8,"SPL24",2020-02-19 13:15:58
"B6",10,"SPL25",2020-02-19 13:15:58
"C6",9,"SPL26",2020-02-19 13:15:58
"D6",9,"SPL27",2020-02-19 13:15:58
"E6",9,"SPL28",2020-02-19 13:15:58
"F6",10,"SPL29",2020-02-19 13:15:58
"G6",11,"SPL30",2020-02-19 13:15:58
"B7",11,"SPL31",2020-02-19 13:15:58
"C7",10,"SPL32",2020-02-19 13:15:58
"D7",10,"SPL33",2020-02-19 13:15:58
"E7",8,"SPL34",2020-02-19 13:15:58
"F7",8,"SPL35",2020-02-19 13:15:58
"G7",10,"SPL36",2020-02-19 13:15:58
"B8",10,"SPL37",2020-02-19 13:15:58
"C8",9,"SPL38",2020-02-19 13:15:58
"D8",8,"SPL39",2020-02-19 13:15:58
"E8",9,"SPL40",2020-02-19 13:15:58
"F8",10,"SPL41",2020-02-19 13:15:58
"G8",10,"SPL42",2020-02-19 13:15:58
"B9",9,"SPL43",2020-02-19 13:15:58
"C9",9,"SPL44",2020-02-19 13:15:58
"D9",10,"SPL45",2020-02-19 13:15:58
"E9",8,"SPL46",2020-02-19 13:15:58
"F9",10,"SPL47",2020-02-19 13:15:58
"G9",8,"SPL48",2020-02-19 13:15:58
"B10",13,"SPL49",2020-02-19 13:15:58
"C10",14,"SPL50",2020-02-19 13:15:58
"D10",14,"SPL51",2020-02-19 13:15:58
"E10",15,"SPL52",2020-02-19 13:15:58
"F10",16,"SPL53",2020-02-19 13:15:58
"G10",14,"SPL54",2020-02-19 13:15:58
"B11",7,"SPL55",2020-02-19 13:15:58
"C11",9,"SPL56",2020-02-19 13:15:58
"D11",9,"SPL57",2020-02-19 13:15:58
"E11",9,"SPL58",2020-02-19 13:15:58
"F11",2,"SPL59",2020-02-19 13:15:58
"G11",1,"SPL60",2020-02-19 13:15:58
