Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,78DF
B3,"79,1DF"
B4,81DF
B5,84DF
B6,86DF
B7,88DF
B8,90DF
B9,92DF
B10,AC
B11,AC
B12,MC
C1,MC
C2,78DF
C3,"79,1DF"
C4,81DF
C5,84DF
C6,86DF
C7,88DF
C8,90DF
C9,92DF
C10,AC
C11,AC
C12,MC
D1,MC
D2,78DF
D3,"79,1DF"
D4,81DF
D5,84DF
D6,86DF
D7,88DF
D8,90DF
D9,92DF
D10,AC
D11,AC
D12,MC
E1,MC
E2,79DF
E3,80DF
E4,82DF
E5,85DF
E6,87DF
E7,89DF
E8,91DF
E9,93DF
E10,AC
E11,AC
E12,MC
F1,MC
F2,79DF
F3,80DF
F4,82DF
F5,85DF
F6,87DF
F7,89DF
F8,91DF
F9,93DF
F10,AC
F11,MC
F12,MC
G1,MC
G2,79DF
G3,80DF
G4,82DF
G5,85DF
G6,87DF
G7,89DF
G8,91DF
G9,93DF
G10,AC
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
