"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",1.67,"SPL1",2021-02-20 20:24:36
"C2",1.22,"SPL2",2021-02-20 20:24:36
"D2",608,"SPL3",2021-02-20 20:24:36
"E2",576,"SPL4",2021-02-20 20:24:36
"F2",606,"SPL5",2021-02-20 20:24:36
"G2",635,"SPL6",2021-02-20 20:24:36
"B3",833,"SPL7",2021-02-20 20:24:36
"C3",761,"SPL8",2021-02-20 20:24:36
"D3",821,"SPL9",2021-02-20 20:24:36
"E3",698,"SPL10",2021-02-20 20:24:36
"F3",639,"SPL11",2021-02-20 20:24:36
"G3",747,"SPL12",2021-02-20 20:24:36
"B4",805,"SPL13",2021-02-20 20:24:36
"C4",805,"SPL14",2021-02-20 20:24:36
"D4",819,"SPL15",2021-02-20 20:24:36
"E4",826,"SPL16",2021-02-20 20:24:36
"F4",749,"SPL17",2021-02-20 20:24:36
"G4",834,"SPL18",2021-02-20 20:24:36
"B5",930,"SPL19",2021-02-20 20:24:36
"C5",773,"SPL20",2021-02-20 20:24:36
"D5",948,"SPL21",2021-02-20 20:24:36
"E5",863,"SPL22",2021-02-20 20:24:36
"F5",793,"SPL23",2021-02-20 20:24:36
"G5",796,"SPL24",2021-02-20 20:24:36
"B6",609,"SPL25",2021-02-20 20:24:36
"C6",1036,"SPL26",2021-02-20 20:24:36
"D6",737,"SPL27",2021-02-20 20:24:36
"E6",793,"SPL28",2021-02-20 20:24:36
"F6",947,"SPL29",2021-02-20 20:24:36
"G6",924,"SPL30",2021-02-20 20:24:36
"B7",742,"SPL31",2021-02-20 20:24:36
"C7",898,"SPL32",2021-02-20 20:24:36
"D7",752,"SPL33",2021-02-20 20:24:36
"E7",936,"SPL34",2021-02-20 20:24:36
"F7",857,"SPL35",2021-02-20 20:24:36
"G7",875,"SPL36",2021-02-20 20:24:36
"B8",551,"SPL37",2021-02-20 20:24:36
"C8",935,"SPL38",2021-02-20 20:24:36
"D8",690,"SPL39",2021-02-20 20:24:36
"E8",719,"SPL40",2021-02-20 20:24:36
"F8",871,"SPL41",2021-02-20 20:24:36
"G8",886,"SPL42",2021-02-20 20:24:36
"B9",515,"SPL43",2021-02-20 20:24:36
"C9",706,"SPL44",2021-02-20 20:24:36
"D9",340,"SPL45",2021-02-20 20:24:36
"E9",859,"SPL46",2021-02-20 20:24:36
"F9",710,"SPL47",2021-02-20 20:24:36
"G9",714,"SPL48",2021-02-20 20:24:36
"B10",531,"SPL49",2021-02-20 20:24:36
"C10",684,"SPL50",2021-02-20 20:24:36
"D10",430,"SPL51",2021-02-20 20:24:36
"E10",815,"SPL52",2021-02-20 20:24:36
"F10",754,"SPL53",2021-02-20 20:24:36
"G10",669,"SPL54",2021-02-20 20:24:36
"B11",569,"SPL55",2021-02-20 20:24:36
"C11",817,"SPL56",2021-02-20 20:24:36
"D11",200,"SPL57",2021-02-20 20:24:36
"E11",835,"SPL58",2021-02-20 20:24:36
"F11",637,"SPL59",2021-02-20 20:24:36
"G11",661,"SPL60",2021-02-20 20:24:36
