"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",129,"SPL1",2021-02-15 12:06:27
"C2",65.1,"SPL2",2021-02-15 12:06:27
"D2",347,"SPL3",2021-02-15 12:06:27
"E2",228,"SPL4",2021-02-15 12:06:27
"F2",41.8,"SPL5",2021-02-15 12:06:27
"G2",313,"SPL6",2021-02-15 12:06:27
"B3",104,"SPL7",2021-02-15 12:06:27
"C3",60.7,"SPL8",2021-02-15 12:06:27
"D3",299,"SPL9",2021-02-15 12:06:27
"E3",217,"SPL10",2021-02-15 12:06:27
"F3",37.3,"SPL11",2021-02-15 12:06:27
"G3",281,"SPL12",2021-02-15 12:06:27
"B4",107,"SPL13",2021-02-15 12:06:27
"C4",57.3,"SPL14",2021-02-15 12:06:27
"D4",282,"SPL15",2021-02-15 12:06:27
"E4",214,"SPL16",2021-02-15 12:06:27
"F4",204,"SPL17",2021-02-15 12:06:27
"G4",306,"SPL18",2021-02-15 12:06:27
"B5",225,"SPL19",2021-02-15 12:06:27
"C5",35.9,"SPL20",2021-02-15 12:06:27
"D5",245,"SPL21",2021-02-15 12:06:27
"E5",239,"SPL22",2021-02-15 12:06:27
"F5",274,"SPL23",2021-02-15 12:06:27
"G5",256,"SPL24",2021-02-15 12:06:27
"B6",225,"SPL25",2021-02-15 12:06:27
"C6",34,"SPL26",2021-02-15 12:06:27
"D6",309,"SPL27",2021-02-15 12:06:27
"E6",221,"SPL28",2021-02-15 12:06:27
"F6",531,"SPL29",2021-02-15 12:06:27
"G6",550,"SPL30",2021-02-15 12:06:27
"B7",234,"SPL31",2021-02-15 12:06:27
"C7",34.8,"SPL32",2021-02-15 12:06:27
"D7",248,"SPL33",2021-02-15 12:06:27
"E7",251,"SPL34",2021-02-15 12:06:27
"F7",284,"SPL35",2021-02-15 12:06:27
"G7",288,"SPL36",2021-02-15 12:06:27
"B8",301,"SPL37",2021-02-15 12:06:27
"C8",192,"SPL38",2021-02-15 12:06:27
"D8",254,"SPL39",2021-02-15 12:06:27
"E8",254,"SPL40",2021-02-15 12:06:27
"F8",219,"SPL41",2021-02-15 12:06:27
"G8",256,"SPL42",2021-02-15 12:06:27
"B9",305,"SPL43",2021-02-15 12:06:27
"C9",191,"SPL44",2021-02-15 12:06:27
"D9",268,"SPL45",2021-02-15 12:06:27
"E9",258,"SPL46",2021-02-15 12:06:27
"F9",250,"SPL47",2021-02-15 12:06:27
"G9",233,"SPL48",2021-02-15 12:06:27
"B10",304,"SPL49",2021-02-15 12:06:27
"C10",219,"SPL50",2021-02-15 12:06:27
"D10",268,"SPL51",2021-02-15 12:06:27
"E10",248,"SPL52",2021-02-15 12:06:27
"F10",244,"SPL53",2021-02-15 12:06:27
"G10",240,"SPL54",2021-02-15 12:06:27
"B11",223,"SPL55",2021-02-15 12:06:27
"C11",222,"SPL56",2021-02-15 12:06:27
"D11",205,"SPL57",2021-02-15 12:06:27
"E11",217,"SPL58",2021-02-15 12:06:27
"F11",2.11,"SPL59",2021-02-15 12:06:27
"G11",2.11,"SPL60",2021-02-15 12:06:27
