Well,Isolate
B2,157D3
B3,157D3
B4,157D3
B5,186D3
B6,186D3
B7,186D3
B8,184D3
B9,184D3
B10,184D3
B11,AC
C2,"113,2DF"
C3,"113,2DF"
C4,"113,2DF"
C5,119DF
C6,119DF
C7,119DF
C8,197D3
C9,197D3
C10,197D3
C11,AC
D2,171D3
D3,171D3
D4,171D3
D5,114DF
D6,114DF
D7,114DF
D8,106DF
D9,106DF
D10,106DF
D11,AC
E2,"199,1D3"
E3,"199,1D3"
E4,"199,1D3"
E5,163D3
E6,163D3
E7,163D3
E8,200D3
E9,200D3
E10,200D3
E11,AC
F2,"113,1DF"
F3,"113,1DF"
F4,"113,1DF"
F5,168D3
F6,168D3
F7,168D3
F8,95DF
F9,95DF
F10,95DF
F11,MC
G2,"183,1D3"
G3,"183,1D3"
G4,"183,1D3"
G5,"113,3DF"
G6,"113,3DF"
G7,"113,3DF"
G8,"112,2DF"
G9,"112,2DF"
G10,"112,2DF"
G11,MC
