Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,1DF
B3,2DF
B4,4DF
B5,6DF
B6,8DF
B7,"9,1DF"
B8,10DF
B9,12DF
B10,13DF
B11,AC
B12,MC
C1,MC
C2,1DF
C3,2DF
C4,4DF
C5,6DF
C6,8DF
C7,"9,1DF"
C8,10DF
C9,12DF
C10,13DF
C11,AC
C12,MC
D1,MC
D2,1DF
D3,2DF
D4,4DF
D5,6DF
D6,8DF
D7,"9,1DF"
D8,10DF
D9,12DF
D10,13DF
D11,AC
D12,MC
E1,MC
E2,"1,1DF"
E3,3DF
E4,5DF
E5,7DF
E6,9DF
E7,"9,2DF"
E8,11DF
E9,"12,1DF"
E10,14DF
E11,AC
E12,MC
F1,MC
F2,"1,1DF"
F3,3DF
F4,5DF
F5,7DF
F6,9DF
F7,"9,2DF"
F8,11DF
F9,"12,1DF"
F10,14DF
F11,MC
F12,MC
G1,MC
G2,"1,1DF"
G3,3DF
G4,5DF
G5,7DF
G6,9DF
G7,"9,2DF"
G8,11DF
G9,"12,1DF"
G10,14DF
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
