"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",444,"SPL1",2021-03-03 11:57:16
"C2",232,"SPL2",2021-03-03 11:57:16
"D2",318,"SPL3",2021-03-03 11:57:16
"E2",261,"SPL4",2021-03-03 11:57:16
"F2",25.1,"SPL5",2021-03-03 11:57:16
"G2",349,"SPL6",2021-03-03 11:57:16
"B3",446,"SPL7",2021-03-03 11:57:16
"C3",285,"SPL8",2021-03-03 11:57:16
"D3",315,"SPL9",2021-03-03 11:57:16
"E3",266,"SPL10",2021-03-03 11:57:16
"F3",22.2,"SPL11",2021-03-03 11:57:16
"G3",338,"SPL12",2021-03-03 11:57:16
"B4",420,"SPL13",2021-03-03 11:57:16
"C4",241,"SPL14",2021-03-03 11:57:16
"D4",303,"SPL15",2021-03-03 11:57:16
"E4",267,"SPL16",2021-03-03 11:57:16
"F4",13.3,"SPL17",2021-03-03 11:57:16
"G4",337,"SPL18",2021-03-03 11:57:16
"B5",368,"SPL19",2021-03-03 11:57:16
"C5",299,"SPL20",2021-03-03 11:57:16
"D5",303,"SPL21",2021-03-03 11:57:16
"E5",297,"SPL22",2021-03-03 11:57:16
"F5",226,"SPL23",2021-03-03 11:57:16
"G5",290,"SPL24",2021-03-03 11:57:16
"B6",393,"SPL25",2021-03-03 11:57:16
"C6",111,"SPL26",2021-03-03 11:57:16
"D6",291,"SPL27",2021-03-03 11:57:16
"E6",268,"SPL28",2021-03-03 11:57:16
"F6",270,"SPL29",2021-03-03 11:57:16
"G6",272,"SPL30",2021-03-03 11:57:16
"B7",389,"SPL31",2021-03-03 11:57:16
"C7",272,"SPL32",2021-03-03 11:57:16
"D7",308,"SPL33",2021-03-03 11:57:16
"E7",306,"SPL34",2021-03-03 11:57:16
"F7",238,"SPL35",2021-03-03 11:57:16
"G7",258,"SPL36",2021-03-03 11:57:16
"B8",330,"SPL37",2021-03-03 11:57:16
"C8",332,"SPL38",2021-03-03 11:57:16
"D8",107,"SPL39",2021-03-03 11:57:16
"E8",99.9,"SPL40",2021-03-03 11:57:16
"F8",383,"SPL41",2021-03-03 11:57:16
"G8",322,"SPL42",2021-03-03 11:57:16
"B9",319,"SPL43",2021-03-03 11:57:16
"C9",296,"SPL44",2021-03-03 11:57:16
"D9",261,"SPL45",2021-03-03 11:57:16
"E9",92.6,"SPL46",2021-03-03 11:57:16
"F9",383,"SPL47",2021-03-03 11:57:16
"G9",250,"SPL48",2021-03-03 11:57:16
"B10",321,"SPL49",2021-03-03 11:57:16
"C10",328,"SPL50",2021-03-03 11:57:16
"D10",274,"SPL51",2021-03-03 11:57:16
"E10",108,"SPL52",2021-03-03 11:57:16
"F10",389,"SPL53",2021-03-03 11:57:16
"G10",255,"SPL54",2021-03-03 11:57:16
"B11",222,"SPL55",2021-03-03 11:57:16
"C11",245,"SPL56",2021-03-03 11:57:16
"D11",220,"SPL57",2021-03-03 11:57:16
"E11",219,"SPL58",2021-03-03 11:57:16
"F11",1,"SPL59",2021-03-03 11:57:16
"G11",1.22,"SPL60",2021-03-03 11:57:16
