Well,Isolate
B2,206D3
B3,206D3
B4,206D3
B5,139DF
B6,139DF
B7,139DF
B8,145DF
B9,145DF
B10,145DF
B11,AC
C2,122DF
C3,122DF
C4,122DF
C5,126DF
C6,126DF
C7,126DF
C8,250D3
C9,250D3
C10,250D3
C11,AC
D2,203D3
D3,203D3
D4,203D3
D5,133DF
D6,133DF
D7,133DF
D8,216D3
D9,216D3
D10,216D3
D11,AC
E2,143DF
E3,143DF
E4,143DF
E5,"124,1DF"
E6,"124,1DF"
E7,"124,1DF"
E8,"TRI_124,1,139,145DF"
E9,AC
E10,AC
E11,AC
F2,228D3
F3,228D3
F4,228D3
F5,150DF
F6,150DF
F7,150DF
F8,"TRI_250D3,126,150DF"
F9,AC
F10,AC
F11,MC
G2,218D3
G3,218D3
G4,218D3
G5,"132,1DF"
G6,"132,1DF"
G7,"132,1DF"
G8,"TRI_216D3,132,1,133DF"
G9,AC
G10,AC
G11,MC
