"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",255,"SPL1",2019-11-14 12:02:18
"C2",229,"SPL2",2019-11-14 12:02:18
"D2",226,"SPL3",2019-11-14 12:02:18
"E2",340,"SPL4",2019-11-14 12:02:18
"F2",340,"SPL5",2019-11-14 12:02:18
"G2",393,"SPL6",2019-11-14 12:02:18
"B3",327,"SPL7",2019-11-14 12:02:18
"C3",417,"SPL8",2019-11-14 12:02:18
"D3",331,"SPL9",2019-11-14 12:02:18
"E3",481,"SPL10",2019-11-14 12:02:18
"F3",524,"SPL11",2019-11-14 12:02:18
"G3",522,"SPL12",2019-11-14 12:02:18
"B4",311,"SPL13",2019-11-14 12:02:18
"C4",261,"SPL14",2019-11-14 12:02:18
"D4",276,"SPL15",2019-11-14 12:02:18
"E4",415,"SPL16",2019-11-14 12:02:18
"F4",703,"SPL17",2019-11-14 12:02:18
"G4",423,"SPL18",2019-11-14 12:02:18
"B5",424,"SPL19",2019-11-14 12:02:18
"C5",417,"SPL20",2019-11-14 12:02:18
"D5",404,"SPL21",2019-11-14 12:02:18
"E5",400,"SPL22",2019-11-14 12:02:18
"F5",361,"SPL23",2019-11-14 12:02:18
"G5",398,"SPL24",2019-11-14 12:02:18
"B6",610,"SPL25",2019-11-14 12:02:18
"C6",632,"SPL26",2019-11-14 12:02:18
"D6",580,"SPL27",2019-11-14 12:02:18
"E6",303,"SPL28",2019-11-14 12:02:18
"F6",298,"SPL29",2019-11-14 12:02:18
"G6",292,"SPL30",2019-11-14 12:02:18
"B7",310,"SPL31",2019-11-14 12:02:18
"C7",315,"SPL32",2019-11-14 12:02:18
"D7",305,"SPL33",2019-11-14 12:02:18
"E7",271,"SPL34",2019-11-14 12:02:18
"F7",257,"SPL35",2019-11-14 12:02:18
"G7",271,"SPL36",2019-11-14 12:02:18
"B8",326,"SPL37",2019-11-14 12:02:18
"C8",302,"SPL38",2019-11-14 12:02:18
"D8",286,"SPL39",2019-11-14 12:02:18
"E8",221,"SPL40",2019-11-14 12:02:18
"F8",234,"SPL41",2019-11-14 12:02:18
"G8",201,"SPL42",2019-11-14 12:02:18
"B9",113,"SPL43",2019-11-14 12:02:18
"C9",66,"SPL44",2019-11-14 12:02:18
"D9",340,"SPL45",2019-11-14 12:02:18
"E9",647,"SPL46",2019-11-14 12:02:18
"F9",658,"SPL47",2019-11-14 12:02:18
"G9",648,"SPL48",2019-11-14 12:02:18
"B10",270,"SPL49",2019-11-14 12:02:18
"C10",249,"SPL50",2019-11-14 12:02:18
"D10",234,"SPL51",2019-11-14 12:02:18
"E10",236,"SPL52",2019-11-14 12:02:18
"F10",226,"SPL53",2019-11-14 12:02:18
"G10",235,"SPL54",2019-11-14 12:02:18
"B11",294,"SPL55",2019-11-14 12:02:18
"C11",284,"SPL56",2019-11-14 12:02:18
"D11",285,"SPL57",2019-11-14 12:02:18
"E11",273,"SPL58",2019-11-14 12:02:18
"F11",0,"SPL59",2019-11-14 12:02:18
"G11",1,"SPL60",2019-11-14 12:02:18
