Well,Isolate
A1,MC
A2,MC
A3,MC
A4,MC
A5,MC
A6,MC
A7,MC
A8,MC
A9,MC
A10,MC
A11,MC
A12,MC
B1,MC
B2,18D3
B3,20D3
B4,22D3
B5,24D3
B6,26D3
B7,28D3
B8,30D3
B9,33D3
B10,"34,1D3"
B11,AC
B12,MC
C1,MC
C2,18D3
C3,20D3
C4,22D3
C5,24D3
C6,26D3
C7,28D3
C8,30D3
C9,33D3
C10,"34,1D3"
C11,AC
C12,MC
D1,MC
D2,18D3
D3,20D3
D4,22D3
D5,24D3
D6,26D3
D7,28D3
D8,30D3
D9,33D3
D10,"34,1D3"
D11,AC
D12,MC
E1,MC
E2,19D3
E3,21D3
E4,23D3
E5,25D3
E6,27D3
E7,29D3
E8,31D3
E9,34D3
E10,35D3
E11,AC
E12,MC
F1,MC
F2,19D3
F3,21D3
F4,23D3
F5,25D3
F6,27D3
F7,29D3
F8,31D3
F9,34D3
F10,35D3
F11,MC
F12,MC
G1,MC
G2,19D3
G3,21D3
G4,23D3
G5,25D3
G6,27D3
G7,29D3
G8,31D3
G9,34D3
G10,35D3
G11,MC
G12,MC
H1,MC
H2,MC
H3,MC
H4,MC
H5,MC
H6,MC
H7,MC
H8,MC
H9,MC
H10,MC
H11,MC
H12,MC
