Well ID,Well,"Mean RFU [ChlA_70:460,685]","Std Dev RFU [ChlA_70:460,685]","CV RFU [ChlA_70:460,685]","Mean RFU [ChlA_100:460,685]","Std Dev RFU [ChlA_100:460,685]","CV RFU [ChlA_100:460,685]",Reading Date/Time,Time (Hours)
SPL1,B2,7,7.28,104.002,77,20.523,26.577,11/12/2019 9:37,89.75
SPL2,C2,6,2.108,36.488,72,14.714,20.531,11/12/2019 9:37,89.75
SPL3,D2,8,3.941,52.154,79,17.309,21.941,11/12/2019 9:37,89.75
SPL4,E2,7,3.018,42.447,100,114.655,114.148,11/12/2019 9:37,89.75
SPL5,F2,8,4.086,52.533,105,99.773,95.224,11/12/2019 9:37,89.75
SPL6,G2,8,4.512,55.631,94,96.68,103.34,11/12/2019 9:37,89.75
SPL7,B3,7,2.828,40.406,89,41.344,46.396,11/12/2019 9:37,89.75
SPL8,C3,8,2.297,27.205,94,21.685,23.152,11/12/2019 9:37,89.75
SPL9,D3,7,2.587,35.825,85,100.619,118.686,11/12/2019 9:37,89.75
SPL10,E3,7,5.183,75.234,79,102.441,130.222,11/12/2019 9:37,89.75
SPL11,F3,6,5.341,82.88,89,123.95,139.619,11/12/2019 9:37,89.75
SPL12,G3,7,6.346,85.251,82,117.712,143.551,11/12/2019 9:37,89.75
SPL13,B4,7,2.833,38.06,79,53.05,66.776,11/12/2019 9:37,89.75
SPL14,C4,8,3.504,41.494,93,63.846,68.406,11/12/2019 9:37,89.75
SPL15,D4,7,2.958,42.258,88,56.089,63.577,11/12/2019 9:37,89.75
SPL16,E4,9,5.725,66.918,122,146.796,119.997,11/12/2019 9:37,89.75
SPL17,F4,9,6.28,68.102,125,164.645,131.716,11/12/2019 9:37,89.75
SPL18,G4,10,12.975,131.212,127,189.625,149.704,11/12/2019 9:37,89.75
SPL19,B5,6,1.878,33.808,43,13.115,30.265,11/12/2019 9:37,89.75
SPL20,C5,9,3.632,39.388,94,20.833,22.162,11/12/2019 9:37,89.75
SPL21,D5,9,1.616,18.179,97,13.442,13.826,11/12/2019 9:37,89.75
SPL22,E5,10,2.522,24.944,105,26.097,24.959,11/12/2019 9:37,89.75
SPL23,F5,9,2.297,24.325,105,17.796,16.913,11/12/2019 9:37,89.75
SPL24,G5,10,2.863,29.277,116,30.838,26.585,11/12/2019 9:37,89.75
SPL25,B6,4,2.186,49.181,49,12.64,26.033,11/12/2019 9:37,89.75
SPL26,C6,4,3.606,90.139,46,68.501,148.2,11/12/2019 9:37,89.75
SPL27,D6,4,2.455,69.051,47,50.736,108.204,11/12/2019 9:37,89.75
SPL28,E6,38,21.018,54.829,501,280.726,55.984,11/12/2019 9:37,89.75
SPL29,F6,31,18.55,59.626,363,238.992,65.858,11/12/2019 9:37,89.75
SPL30,G6,37,19.616,52.386,473,253.512,53.647,11/12/2019 9:37,89.75
SPL31,B7,7,2.646,36.078,80,30.048,37.507,11/12/2019 9:37,89.75
SPL32,C7,8,3.492,44.898,90,33.469,37.28,11/12/2019 9:37,89.75
SPL33,D7,9,2.506,29.286,90,34.322,38.277,11/12/2019 9:37,89.75
SPL34,E7,7,1.5,22.5,86,21.552,25.061,11/12/2019 9:37,89.75
SPL35,F7,7,3.383,46.841,92,39.881,43.349,11/12/2019 9:37,89.75
SPL36,G7,8,3.395,44.937,95,41.388,43.72,11/12/2019 9:37,89.75
SPL37,B8,8,3.296,41.775,87,39.728,45.898,11/12/2019 9:37,89.75
SPL38,C8,7,2.698,36.238,84,28.319,33.624,11/12/2019 9:37,89.75
SPL39,D8,7,3.606,49.167,90,32.408,36.142,11/12/2019 9:37,89.75
SPL40,E8,8,2.698,35.705,89,26.73,30.147,11/12/2019 9:37,89.75
SPL41,F8,8,3.621,44.642,92,45.563,49.644,11/12/2019 9:37,89.75
SPL42,G8,9,3.127,36.549,99,37.405,37.825,11/12/2019 9:37,89.75
SPL43,B9,9,4.086,46.548,92,34.413,37.587,11/12/2019 9:37,89.75
SPL44,C9,7,3.951,55.562,80,27.35,34.045,11/12/2019 9:37,89.75
SPL45,D9,7,2.804,39.428,86,37.955,44.077,11/12/2019 9:37,89.75
SPL46,E9,7,2,27.273,86,27.29,31.856,11/12/2019 9:37,89.75
SPL47,F9,8,2.744,36.313,96,44.598,46.618,11/12/2019 9:37,89.75
SPL48,G9,8,4.825,63.856,97,48.598,50.332,11/12/2019 9:37,89.75
SPL49,B10,9,3.64,42.001,90,31.89,35.303,11/12/2019 9:37,89.75
SPL50,C10,8,2.651,35.087,88,32.152,36.398,11/12/2019 9:37,89.75
SPL51,D10,8,4.444,57.966,87,46.536,53.422,11/12/2019 9:37,89.75
SPL52,E10,6,3.464,54.696,74,39.939,54.053,11/12/2019 9:37,89.75
SPL53,F10,8,3.756,46.313,87,45.812,52.658,11/12/2019 9:37,89.75
SPL54,G10,7,3.005,40.361,94,39.382,41.995,11/12/2019 9:37,89.75
SPL55,B11,8,3.873,50.517,87,44.671,51.346,11/12/2019 9:37,89.75
SPL56,C11,9,2.619,28.749,95,33.571,35.338,11/12/2019 9:37,89.75
SPL57,D11,7,5.408,77.262,90,52.24,58.26,11/12/2019 9:37,89.75
SPL58,E11,8,3.937,49.213,88,36.364,41.271,11/12/2019 9:37,89.75
SPL59,F11,1,0.726,130.767,1,0.866,86.603,11/12/2019 9:37,89.75
SPL60,G11,1,1.093,140.517,1,1.054,118.585,11/12/2019 9:37,89.75
