"Well","Mean RFU [ChlA_100:460,685]","Well ID","Reading Date/Time"
"B2",47,"SPL1",2021-02-03 11:38:11
"C2",48,"SPL2",2021-02-03 11:38:11
"D2",58,"SPL3",2021-02-03 11:38:11
"E2",58,"SPL4",2021-02-03 11:38:11
"F2",49,"SPL5",2021-02-03 11:38:11
"G2",42,"SPL6",2021-02-03 11:38:11
"B3",52,"SPL7",2021-02-03 11:38:11
"C3",50,"SPL8",2021-02-03 11:38:11
"D3",56,"SPL9",2021-02-03 11:38:11
"E3",63,"SPL10",2021-02-03 11:38:11
"F3",53,"SPL11",2021-02-03 11:38:11
"G3",40,"SPL12",2021-02-03 11:38:11
"B4",48,"SPL13",2021-02-03 11:38:11
"C4",52,"SPL14",2021-02-03 11:38:11
"D4",56,"SPL15",2021-02-03 11:38:11
"E4",63,"SPL16",2021-02-03 11:38:11
"F4",51,"SPL17",2021-02-03 11:38:11
"G4",47,"SPL18",2021-02-03 11:38:11
"B5",47,"SPL19",2021-02-03 11:38:11
"C5",48,"SPL20",2021-02-03 11:38:11
"D5",47,"SPL21",2021-02-03 11:38:11
"E5",53,"SPL22",2021-02-03 11:38:11
"F5",54,"SPL23",2021-02-03 11:38:11
"G5",46,"SPL24",2021-02-03 11:38:11
"B6",54,"SPL25",2021-02-03 11:38:11
"C6",47,"SPL26",2021-02-03 11:38:11
"D6",53,"SPL27",2021-02-03 11:38:11
"E6",52,"SPL28",2021-02-03 11:38:11
"F6",53,"SPL29",2021-02-03 11:38:11
"G6",48,"SPL30",2021-02-03 11:38:11
"B7",53,"SPL31",2021-02-03 11:38:11
"C7",51,"SPL32",2021-02-03 11:38:11
"D7",47,"SPL33",2021-02-03 11:38:11
"E7",44,"SPL34",2021-02-03 11:38:11
"F7",58,"SPL35",2021-02-03 11:38:11
"G7",50,"SPL36",2021-02-03 11:38:11
"B8",51,"SPL37",2021-02-03 11:38:11
"C8",45,"SPL38",2021-02-03 11:38:11
"D8",49,"SPL39",2021-02-03 11:38:11
"E8",47,"SPL40",2021-02-03 11:38:11
"F8",43,"SPL41",2021-02-03 11:38:11
"G8",44,"SPL42",2021-02-03 11:38:11
"B9",41,"SPL43",2021-02-03 11:38:11
"C9",47,"SPL44",2021-02-03 11:38:11
"D9",49,"SPL45",2021-02-03 11:38:11
"E9",47,"SPL46",2021-02-03 11:38:11
"F9",41,"SPL47",2021-02-03 11:38:11
"G9",46,"SPL48",2021-02-03 11:38:11
"B10",51,"SPL49",2021-02-03 11:38:11
"C10",53,"SPL50",2021-02-03 11:38:11
"D10",57,"SPL51",2021-02-03 11:38:11
"E10",48,"SPL52",2021-02-03 11:38:11
"F10",46,"SPL53",2021-02-03 11:38:11
"G10",41,"SPL54",2021-02-03 11:38:11
"B11",44,"SPL55",2021-02-03 11:38:11
"C11",52,"SPL56",2021-02-03 11:38:11
"D11",48,"SPL57",2021-02-03 11:38:11
"E11",45,"SPL58",2021-02-03 11:38:11
"F11",2,"SPL59",2021-02-03 11:38:11
"G11",2,"SPL60",2021-02-03 11:38:11
