Well,Isolate,Note
B2,63DF,
B3,63DF,
B4,63DF,
B5,76D3,
B6,76D3,
B7,76D3,
B8,67D3,
B9,67D3,
B10,67D3,
B11,AC,AC_R2A
C2,61D3,
C3,61D3,
C4,61D3,
C5,43DF,
C6,43DF,
C7,43DF,
C8,41DF,
C9,41DF,
C10,41DF,
C11,AC,AC_R2A
D2,45DF,
D3,45DF,
D4,45DF,
D5,"40,1DF",
D6,"40,1DF",
D7,"40,1DF",
D8,57DF,
D9,57DF,
D10,57DF,
D11,AC,AC_R2A
E2,63D3,
E3,63D3,
E4,63D3,
E5,59D3,
E6,59D3,
E7,59D3,
E8,82D3,
E9,82D3,
E10,82D3,
E11,AC,AC_R2A
F2,51DF,
F3,51DF,
F4,51DF,
F5,51D3,
F6,51D3,
F7,51D3,
F8,55DF,
F9,55DF,
F10,55DF,
F11,MC,
G2,"52,2DF",
G3,"52,2DF",
G4,"52,2DF",
G5,"62,1D3",
G6,"62,1D3",
G7,"62,1D3",
G8,52DF,
G9,52DF,
G10,52DF,
G11,MC,
