Well,Isolate
B2,49DF
B3,49DF
B4,49DF
B5,"58,2D3"
B6,"58,2D3"
B7,"58,2D3"
B8,77D3
B9,77D3
B10,77D3
B11,AC
C2,"45,2DF"
C3,"45,2DF"
C4,"45,2DF"
C5,62D3
C6,62D3
C7,62D3
C8,54D3
C9,54D3
C10,54D3
C11,AC
D2,"60,1DF"
D3,"60,1DF"
D4,"60,1DF"
D5,"45,1DF"
D6,"45,1DF"
D7,"45,1DF"
D8,59DF
D9,59DF
D10,59DF
D11,AC
E2,84D3
E3,84D3
E4,84D3
E5,83D3
E6,83D3
E7,83D3
E8,52D3
E9,52D3
E10,52D3
E11,AC
F2,78D3
F3,78D3
F4,78D3
F5,53D3
F6,53D3
F7,53D3
F8,"54,1D3"
F9,"54,1D3"
F10,"54,1D3"
F11,MC
G2,54DF
G3,54DF
G4,54DF
G5,68D3
G6,68D3
G7,68D3
G8,60DF
G9,60DF
G10,60DF
G11,MC
